ID fornecimento,Data,ID Und Reab,Política Pública,Origem das mudas,Finalidade da doação,SomaDequant
2939,14-dez.-23,1972,Programa Reflorestar (convencional),Granja do Ipê,Convencional,50
2940,14-dez.-23,1973,Programa Reflorestar (convencional),Granja do Ipê,Convencional,330
2941,14-dez.-23,1974,Programa Reflorestar (convencional),Granja do Ipê,Convencional,375
2942,14-dez.-23,2164,Programa Reflorestar (convencional),Granja do Ipê,Convencional,250
2943,14-dez.-23,2318,Programa Reflorestar (convencional),Granja do Ipê,Convencional,152
2944,15-dez.-23,398,Programa Reflorestar (convencional),Granja do Ipê,Convencional,150
2945,14-dez.-23,222,Programa Reflorestar (convencional),Granja do Ipê,Convencional,152
2946,15-dez.-23,2320,Programa Reflorestar (convencional),Granja do Ipê,Convencional,200
2947,15-dez.-23,222,Programa Reflorestar (convencional),Granja do Ipê,Convencional,150
2948,15-dez.-23,2321,Programa Reflorestar (convencional),Granja do Ipê,Educação Ambiental,50
2949,18-dez.-23,2319,Programa Reflorestar (convencional),Granja do Ipê,Convencional,500
2950,19-dez.-23,335,Programa Reflorestar (convencional),Granja do Ipê,Convencional,450
2951,19-dez.-23,2324,Programa Reflorestar (convencional),Granja do Ipê,Convencional,160
2952,21-dez.-23,2322,Programa Reflorestar (convencional),Granja do Ipê,Convencional,540
2953,22-dez.-23,2289,Programa Reflorestar (convencional),Granja do Ipê,Convencional,30
2954,20-dez.-23,1960,Programa Reflorestar (convencional),Granja do Ipê,Convencional,300
2955,20-dez.-23,222,Programa Reflorestar (convencional),Granja do Ipê,Convencional,250
2956,20-dez.-23,2270,Programa Reflorestar (convencional),Granja do Ipê,Convencional,150
2957,21-dez.-23,1736,Programa Reflorestar (convencional),Granja do Ipê,Convencional,230
2959,20-dez.-23,2328,Programa Reflorestar (convencional),Granja do Ipê,Educação Ambiental,100
2960,21-dez.-23,2163,Programa Reflorestar (convencional),Granja do Ipê,Convencional,250
2961,21-dez.-23,1970,Programa Reflorestar (convencional),Granja do Ipê,Convencional,500
2962,21-dez.-23,2193,Programa Reflorestar (convencional),Granja do Ipê,Convencional,280
2963,21-dez.-23,640,Programa Reflorestar (convencional),Granja do Ipê,Convencional,150
2964,22-dez.-23,2329,Programa Reflorestar (convencional),Granja do Ipê,Convencional,650
2965,22-dez.-23,2332,Programa Reflorestar (convencional),Granja do Ipê,Convencional,890
2966,21-dez.-23,2163,Programa Reflorestar (convencional),Granja do Ipê,Convencional,280
2967,22-dez.-23,2333,Programa Reflorestar (convencional),Granja do Ipê,Convencional,280
2969,04-jan.-24,2306,Programa Reflorestar (convencional),Granja do Ipê,Convencional,275
2970,10-jan.-24,970,Programa Reflorestar (convencional),Granja do Ipê,Convencional,100
2971,04-jan.-24,2270,Programa Reflorestar (convencional),Granja do Ipê,Convencional,150
2972,05-jan.-24,2186,Programa Reflorestar (convencional),Granja do Ipê,Convencional,110
2973,03-jan.-24,2333,Programa Reflorestar (convencional),Granja do Ipê,Convencional,500
2976,03-jan.-24,2327,Programa Reflorestar (convencional),Granja do Ipê,Convencional,500
2977,03-jan.-24,2337,Programa Reflorestar (convencional),Granja do Ipê,Convencional,500
2978,05-jan.-24,1874,Programa Reflorestar (convencional),Granja do Ipê,Convencional,170
2979,04-jan.-24,2193,Programa Reflorestar (convencional),Granja do Ipê,Convencional,436
